z_center,z_width,pt_center,pt_width,cos_center,cos_width,nsig,nsig_err,nsig_err2,bin_index
0.48,0.04,0.4375,0.0625,0.1,0.1,7511.537,112.9991,112.9991,335
0.48,0.04,0.4375,0.0625,0.3,0.1,7483.1663,112.6295,112.6295,336
0.48,0.04,0.4375,0.0625,0.5,0.1,7748.3489,114.396,114.396,337
0.48,0.04,0.4375,0.0625,0.7,0.1,7911.8096,114.5201,114.5201,338
0.48,0.04,0.4375,0.0625,0.9,0.1,8919.198,119.8555,119.8555,339
0.48,0.04,0.5806,0.0806,-0.9,0.1,9450.9693,123.8961,123.8961,340
0.48,0.04,0.5806,0.0806,-0.7,0.1,8444.1034,119.5084,119.5084,341
0.48,0.04,0.5806,0.0806,-0.5,0.1,8349.8914,119.1098,119.1098,342
0.48,0.04,0.5806,0.0806,-0.3,0.1,8101.6024,117.4318,117.4318,343
0.48,0.04,0.5806,0.0806,-0.1,0.1,7978.8602,116.6517,116.6517,344
0.48,0.04,0.5806,0.0806,0.1,0.1,7779.4388,115.9561,115.9561,345
0.48,0.04,0.5806,0.0806,0.3,0.1,8019.2749,117.4004,117.4004,346
0.48,0.04,0.5806,0.0806,0.5,0.1,8388.1344,118.4958,118.4958,347
0.48,0.04,0.5806,0.0806,0.7,0.1,8794.2338,120.5291,120.5291,348
0.48,0.04,0.5806,0.0806,0.9,0.1,9361.4994,123.6828,123.6828,349
0.48,0.04,0.765,0.1038,-0.9,0.1,7454.8814,110.0207,110.0207,350
0.48,0.04,0.765,0.1038,-0.7,0.1,6913.5618,108.0937,108.0937,351
0.48,0.04,0.765,0.1038,-0.5,0.1,6347.1635,104.4792,104.4792,352
0.48,0.04,0.765,0.1038,-0.3,0.1,6322.7607,104.3999,104.3999,353
0.48,0.04,0.765,0.1038,-0.1,0.1,6149.9037,103.2535,103.2535,354
0.48,0.04,0.765,0.1038,0.1,0.1,6120.8731,103.3332,103.3332,355
0.48,0.04,0.765,0.1038,0.3,0.1,6253.871,103.8464,103.8464,356
0.48,0.04,0.765,0.1038,0.5,0.1,6474.8119,105.3997,105.3997,357
0.48,0.04,0.765,0.1038,0.7,0.1,6914.3634,107.533,107.533,358
0.48,0.04,0.765,0.1038,0.9,0.1,7173.3815,108.5694,108.5694,359
0.48,0.04,1.0027,0.1339,-0.9,0.1,4125.4662,82.2636,82.2636,360
0.48,0.04,1.0027,0.1339,-0.7,0.1,3514.2407,77.3454,77.3454,361
0.48,0.04,1.0027,0.1339,-0.5,0.1,3252.3703,75.0326,75.0326,362
0.48,0.04,1.0027,0.1339,-0.3,0.1,2807.3253,72.2263,72.2263,363
0.48,0.04,1.0027,0.1339,-0.1,0.1,2999.9066,73.4494,73.4494,364
0.48,0.04,1.0027,0.1339,0.1,0.1,2983.3557,72.5169,72.5169,365
0.48,0.04,1.0027,0.1339,0.3,0.1,2916.6985,73.3042,73.3042,366
0.48,0.04,1.0027,0.1339,0.5,0.1,3267.4384,75.0119,75.0119,367
0.48,0.04,1.0027,0.1339,0.7,0.1,3486.1108,77.3297,77.3297,368
0.48,0.04,1.0027,0.1339,0.9,0.1,3883.5289,80.2191,80.2191,369
